Date,Patrol Time,Steward name,High Temperature,Weather,Number of observed gorge users,total Number of people obseved violating a rule,Number of person interactions: Alternatives,Number of person interactions: Warnings,Number of person interactions: Directions,Total number of person interactions (Daily),Number of contacts to CUPD,Number of People above Ithaca Falls?,Description of Interactions,Description of notable events,,,,,,,,,,,,
5/25/2023,11AM-7PM,Brenner,61,"sunny, windy",168,0,0,0,1,1,0,0,Someone asked about north campus,saw some geese babies!,,,,,,,,,,,,
5/26/2023,11AM-7PM,Brenner,68,"sunny, clear",264,0,0,0,9,9,0,0,lots of commencement direction questions,numerous grad photos,,,,,,,,,,,,
5/27/2023,11AM-7PM,Brenner,77,sunny,251,2,0,2,5,7,0,0,few people suntanning on rocks in the water,someone asked me where the slope was lol,,,,,,,,,,,,
5/28/2023,11-7PM,Phillip,81,Sunny,184,5,0,5,9,14,0,0,"Lots of people looking for arboretum, three dogs off leash on Bebee Lake trail and Cascadilla Trail. 2 people past trail in Hemlock Gorge",I saw a cool butterfly,,,,,,,,,,,,
5/29/2023,11-7PM,Phillip,85,Sunny,102,0,0,0,6,0,0,0,"Big day for tourists, small day for violators",Found boathouse key on Bebee lake trail. Is now under shed closest to boats,,,,,,,,,,,,
5/30/2023,11-7PM,Phillip,84,Sunny,95,1,0,1,1,2,0,0,1 dog off leash on upper casc,Quieter day on the gorges but a beatiful temp in the late PM,,,,,,,,,,,,
5/31/2023,11-7PM,Phillip,86,Sunny,109,4,0,4,2,6,0,0,Four guys taking photos in lower Casc,Saw my roommate from freshman year on the upper casc trail. Looking foward to coming back to ITH in July!,,,,,,,,,,,,
6/1/2023,11-7PM,Maddy H,87,Sunny,231,7,0,7,0,7,0,0,"People standing in the water near falls, people on other side of fence, people sitting in water near falls",Saw a snake :),,,,,,,,,,,,
6/2/2023,3-7pm,Ainsley R,89,sunny,47,0,0,0,0,0,0,0,not many people put and about today,ducklings at Cas. Gorge,,,,,,,,,,,,
6/3/2023,3pm-7pm,Maddy H,75,"Sunny, breezy",131,6,1,5,4,10,0,0,"People trying to swim in the base of ithaca falls area, child leaning over the edge of that pool part, guy fishing at end of hemlock from atop waterfall. Lots of tourists and families. Lot of people who wanted to swim in weird places.",Robin flew next to me for a whole 30 sec while on the bike. Chipmunk got suspiciously close to my foot.,,,,,,,,,,,,
6/4/2023,3-7pm,Kaitlyn,73,"Sunny, windy",128,0,0,0,1,2,0,0,"1st interaction to give directions, 2nd interaction was to take a picture for a group",,,,,,,,,,,,,
6/6/2023,11-3pm,Vada,69,"Smokey, chilly",38,0,0,0,0,0,0,0,n/a,So apocalyptic and smokey,,,,,,,,,,,,
6/6/2023,3pm-7pm,Maddy H,69,"Smokey, chilly",46,0,0,0,0,0,0,0,N/A,Smokey and nasty. 3/10 would not recommend,,,,,,,,,,,,
6/9/2023,11-3pm,Vada,64,"Sunny, light rain",188,0,0,0,0,0,0,0,n/a,Met a botanical gardens guy in casc gorge,,,,,,,,,,,,
6/9/2023,3-7 pm,Ainsley R.,64,raining and cloudy,84,0,0,0,1,1,0,0,directions from suspension bridge,lots of birds and also a deer !,,,,,,,,,,,,
6/10/2023,11-3 pm,Ainsley R.,72,sunny,372,11,9,11,1,21,0,7,asked peopel to get out of Gorge at ithaca falls and beverages lake Gorge and asked families to move to safer spots in Cas,,,,,,,,,,,,,
6/10/2023,3-6:45pm,Nour,72,sunny,146,7,2,5,0,7,0,0,fly fisher in Fall Creek (by Risley); dipping toes in prohibited part of casc; 2 swimmers in beebe; 3 people under suspension bridge,learned to ID poison ivy and virginia creeper; SAW A DEER UP CLOSE,,,,,,,,,,,,
6/11/2023,11-3,Ally,84,sunny,198,2,1,1,1,5,0,0,"mentally disabled woman did not want to leave spot in casc, took two trys, lady with dog left when asked also in casc",cute dog laided in casc,,,,,,,,,,,,
6/11/2023,3-7PM,Vada,84,sunny and hot,97,8,6,0,0,0,0,0,"2 swimmers above beebe, 2 people picnicking in casc amphitheater area, various picture takers",,,,,,,,,,,,,
6/13/2023,11:30am-3pm,Maddie R.,69,"Sunny, breezy",32,2,0,1,0,1,0,3,"Casc was closed and one person hopped the fence, told him he wasn't allowed there. 3 kids above Ithaca falls, but left before I needed to say anything",,,,,,,,,,,,,
6/13/2023,3pm-7pm,Maddy H,69,"Sunny, breezy, partly cloudy",83,2,0,2,0,2,0,0,"People cliff jumping in Hemlock gorge, asked them not to do it. People in the water kind of near Ithaca Falls (other side of bridge), asked them to leave.",Goose hissed at me and gave me the stink eye,,,,,,,,,,,,
6/14/2023,11am-3pm,Maddie R.,62,"Rainy&chilly, then sunny",44,0,0,0,0,0,0,0,n/a,,,,,,,,,,,,,
6/14/2023,3pm-7pm,Maddy H,62,"Cloudy and intermittently rainy, then thunderstoming, then raining",27,0,0,0,0,0,0,0,N/A,Decided to hike instead of bike and the earth decided that would be a great time ot start thunderstorming.,,,,,,,,,,,,
6/15/2023,11am-3pm,Maddy H,74,Sunny,157,0,0,0,0,0,0,0,N/A,Itchy caterpillars,,,,,,,,,,,,
6/15/2023,3:40pm-7:20pm,Kaitlyn,74,Sunny,117,3,1,2,1,4,0,0,"1 Asked guardian to keep 2 kids back away from falls in Cascadilla, let him know it was ok to splash in the flat areas away from the falls and that was where I found them on my way back through. 2 Two people were sitting near the top of a water fall in Cascadilla, I asked if they could come back over the chain and was going to talk to them more but they quickly walked away from me. 3. Girl was standing on top of the fall but she was coming back as I came up to her, I let her know that she wasn't allowed on top of, in or under the falls and she ignored me and walked away but someone else she was with (possibly a parent) said thank you. 4. Helped a woman figure out how much farther it was to the top of Cascadilla and speculated on if her partner would make it to the top, she thought not.","Had car trouble so I was late arriving, was violently threatened by a goose, most of my interactions happened at 7pm as I was making my way out of Cascadilla to go home.",,,,,,,,,,,,
6/16/2023,11:00- 4:00,Ally,63,rainy and cold :(,41,0,0,0,0,0,0,0,Didn't talk to anyone,"Pet a Dog, not many people out and about today",,,,,,,,,,,,
